Вакансия,Зарплата,Тип
Специалист отдела кадров,35 000,Резюме
Руководитель сектора логистики,70 000,Резюме
Требуются рабочие строительных специальностей,60 000,Вакансии
Водитель,24 000,Вакансии
"Слесарь, сварщик металлоконструкций",28 000,Резюме
"Главный инженер, технический директор",60 000,Резюме
"Швея по шторам, покрывалам и др",40,Резюме
Вечерняя няня,250,Резюме
Менеджер по логистике,30 000,Резюме
Дизайнер/Ретушер,25 000,Резюме
Дизайнер сайтов,20 000,Резюме
Продавец-кассир,20 000,Резюме
Сантехник ищет подработку,з/п не ук,Резюме
Любая,з/п не ук,Резюме
Водитель Е кат,52 000,Вакансии
Администрантивная работа,з/п не ук,Резюме
Разнорабочие на демонтаж,1 200,Вакансии
Массажистка,30 000,Резюме
"Помощник, промоутер",2 000,Резюме
"Упаковщик, фасовщик, кух. работник, маркеровщик",35 000,Резюме
Сантехник ищет работу,з/п не ук,Резюме
Помощник мастера/прораба,15 000,Резюме
Логопед,40 000,Резюме
"Удаленный помощник юриста, адвоката",15 000,Резюме
Ищу подработку,з/п не ук,Резюме
Профессиональный грузчик в активном поиске работы,30 000,Резюме
Заполнение карточек товаров для интернет-магазинов,15 000,Резюме
Су шеф шеф-повар,70 000,Резюме
Домработница,30 000,Резюме
Уборщица,з/п не ук,Резюме
Портной по верхней одежде на дому,70 000,Вакансии
Любая,3 000,Резюме
Продавец-консультант аксессуаров для гаджетов,23 000,Вакансии
Ищу работу разнорабочий,1 500,Резюме
Агент по недвижимости,59 000,Вакансии
Подсобники(разнорабочие) ежедневные выплаты,1 500,Вакансии
Поиске работы грузчика подсобника разнорабочего,30 000,Резюме
Мастер-универсал ногтевого сервиса,з/п не ук,Резюме
Оператор,22 000,Резюме
Event-менеджер,з/п не ук,Резюме
Любая,з/п не ук,Резюме
Работа подработка,45 000,Резюме
Промоутер,28 000,Вакансии
Посудомойщица,з/п не ук,Вакансии
Специалист по государственным закупкам,35 000,Резюме
Помощник бухгалтера,20 000,Резюме
Теплоэнергетик,25 000,Резюме
Мойщик камер,з/п не ук,Вакансии
Бухгалтер,33 000,Резюме
Отделочник,45 000,Резюме
Менеджер,22 000,Резюме
Курьер,17 000,Резюме
Оператор 1с,27 000,Резюме
Водитель Lada Largus пассажир 7 мест свой,з/п не ук,Резюме
"Руководитель, заместитель руководителя",80 000,Резюме
Начальник производства,35 000,Вакансии
"Курьер, работа по городу",60 000,Резюме
Переводчик,22 000,Резюме
Тренер по хоккею,1 300,Резюме
"Руководитель среднего звена, водитель. офис",50 000,Резюме
Охранник в ночной клуб,1 500,Резюме
Монтажник натяжных потолков,,Резюме
"Главный бухгалтер, Бухгалтер в единственном числе",з/п не ук,Резюме
Повар горячего цеха,1 700,Вакансии
Водитель с личным грузовым автомобилем,1 500,Резюме
Набор текста на дому,30,Резюме
"Администратор, менеджер по продажам, секретарь",30 000,Резюме
"Режиссер -постановщик, педагог актерскому мастерст",2 000,Резюме
Ищу работу Водитель кат. в. c,40 000,Резюме
Курьер,20 000,Резюме
Подработка,1 000,Резюме
Работа,40 000,Резюме
Инженер по связи,50 000,Резюме
Подработка,1 200,Резюме
Менеджер по работе с клиентами,25 000,Вакансии
Стропальщик,40 000,Резюме
"Минусовки, аранжировки, создание музыки",10 000,Резюме
Механик. Линейный механик,35 000,Резюме
Ищу работу,20 000,Резюме
Системный администратор,з/п не ук,Резюме
Водитель,35 000,Резюме
Педагог по подготовке к школе,з/п не ук,Вакансии
Водитель на личном микроавтобусе,50 000,Резюме
Бухгалтер удаленно,5 000,Резюме
Администратор,з/п не ук,Резюме
Требуется мастер парикмахер,40 000,Вакансии
Рабочий,30 000,Резюме
"Водитель (кат. в, с, е)",50 000,Резюме
Электрик по совместительству,з/п не ук,Резюме
Специалист по распространению рекламной продукции,1 200,Вакансии
"Повар, помощник повара",з/п не ук,Вакансии
Ассистент стоматолога,180,Резюме
Скважина,1 000,Резюме
Водоснабжение / Водоотведение / Отопление Сантехн,30 000,Резюме
"Конструктор, проектировщик дизайнер мебели",з/п не ук,Резюме
Требуется продавец - кассир,20 000,Вакансии
Ищу работу в приморском районе,з/п не ук,Резюме
Продавец,30 000,Резюме
Любая,40 000,Резюме
Водитель,70 000,Резюме
Офис-менеджер,25 000,Резюме
Работа мечты,150 000,Резюме
Электросварщик. Сварщик. Газоэлектросварщик,3 000,Резюме
Ищу работу фармацевта,з/п не ук,Резюме
Повар-сушист,1 700,Вакансии
Мастер по массажу,1 500,Резюме
Ищу работу,1 000,Резюме
Сушист пиццер,50 000,Резюме
Продавец-консультант,20 000,Вакансии
"Ключник, изготовление ключей",з/п не ук,Вакансии
Рентген-лаборант,45 000,Резюме
Театральный педагог,10 000,Вакансии
Бригада,з/п не ук,Резюме
Требуется шлифовщик,25 000,Вакансии
Промоутер для раздачи листовок,з/п не ук,Вакансии
Консультант,100,Резюме
"Парикмахер универсал (работа на продукции l""oreal)",з/п не ук,Резюме
Ищу работу сантехника,35 000,Резюме
Мастер малярного участка,100,Резюме
Разно рабочий,1 000,Резюме
"Повар-технолог, кондитер",35 000,Резюме
Менеджер транспортного отдела проката авто,40 000,Резюме
Упаковщица фасовщица склейщица,35 000,Резюме
"Плиточники, маляры, штукатуры",70 000,Вакансии
Ремонт квартир и офисов,з/п не ук,Резюме
Инженер (к т н) строительная и судебная экспертиза,50 000,Резюме
Ищем работу в месте с супругой с проживанием,60 000,Резюме
Водитель погрузчика машинист эксковатора,35 000,Резюме
Продавец консультант,21 000,Вакансии
Продавец-консультант в кондитерскую,20 000,Вакансии
Администратор - горничная,27 000,Вакансии
Маляры-штукатуры,80 000,Вакансии
Кондитер пекарь,30 000,Вакансии
Подработка,20 000,Резюме
Сметчик,з/п не ук,Резюме
Мастер по ремонту ноутбуков,з/п не ук,Резюме
Специалист по снабжению,30 000,Резюме
Водитель,25 000,Резюме
Ищу подработку с оплатой каждый день,1 500,Резюме
Уборщица. уборка квартир,з/п не ук,Резюме
"Ищу работу разнорабочим, подсобным рабочим",з/п не ук,Резюме
Подработка Повар,30 000,Резюме
Парикмахер универсал,з/п не ук,Резюме
Бармен,35 000,Резюме
Композитор,4 000,Резюме
Портной в дизайн - студию верхней одежды,30 000,Вакансии
Ищу работу,з/п не ук,Резюме
Квота по продажам и аренде. Не брокер,100 000,Вакансии
"Бармэн-официант, официант. официант на бонкеты",30 000,Резюме
Ищу работу,з/п не ук,Резюме
Продавец-консультант,15 000,Резюме
"Официант, бариста",30 000,Вакансии
Водитель в. с,60 000,Резюме
Продавец-консультант мебели,50 000,Вакансии
Водитель контейнеровоза читайте внимательно объявл,60 000,Вакансии
"Администратор, бармен и тд",25 000,Резюме
Справлюсь с чем угодно,25 000,Резюме
"Администратор, бармен",30 000,Резюме
Специалист переезда,200,Резюме
Любая,з/п не ук,Резюме
Бухгалтер,30 000,Резюме
Оператор пк/Оператор Call-центра/Контент-менеджер,30 000,Резюме
"Администратор салона красоты, студии загара",27 000,Резюме
Водитель погрузчика 4 разряд,40 000,Резюме
Медицинская сестра- Администратор,30 000,Резюме
Фотограф,1 500,Резюме
Инженер,40 000,Резюме
"Ищу работу как электромонтажник, разнорабочий и др",1 500,Резюме
Начальник участка,50 000,Резюме
Педагог-дефектолог,з/п не ук,Резюме
Автомеханик автослесарь,50 000,Резюме
Требуются швеи,40 000,Вакансии
Водитель c грузовым автомобилем,130 000,Вакансии
"Водитель ""B, С"" вахта, полный день(ночные)",з/п не ук,Резюме
Автослесарь,30 000,Вакансии
Менеджер Администратор,28 000,Резюме
Сотрудник ломбарда,30 000,Резюме
Швея,40 000,Вакансии
"Водитель-экспедитор кат. ""В"", Личный водитель",40 000,Резюме
Водитель на личном автомобиле,35 000,Резюме
В поисках работы,35 000,Резюме
Водитель категории С,з/п не ук,Резюме
Уборщица или продавец выходного дня,1 200,Резюме
Желаю найти работу,з/п не ук,Резюме
Менеджер комиссионного отдела,60 000,Вакансии
Конюх-коновод,30 000,Вакансии
Помощник бухгалтера/Бухгалтер-экономист,25 000,Резюме
Ищу вакансию экспедитора или кладовщик,з/п не ук,Резюме
"Художник, портретист",з/п не ук,Резюме
Упаковщица. Фасовщица в ночную смену,1 100,Резюме
Отделочник,з/п не ук,Резюме
Помощник бухгалтера,30 000,Резюме
Ищу работу,з/п не ук,Резюме
IT-специалист,з/п не ук,Резюме
Администратор в стоматологию,55 000,Резюме
Уборка квартир,500,Резюме
Горничная,22 500,Вакансии
Дворник,25 000,Вакансии
Продавец-консультант в сеть универсамов Удобный,25 000,Вакансии
Рассмотрю все варианты,200,Резюме
Инженер кипиа (метролог),35 000,Резюме
Логопед,700,Резюме
Педагог по изобразительному искусству (изо),з/п не ук,Вакансии
Сиделка,30 000,Вакансии
Сотрудник охраны,20 000,Вакансии
Повар холодного цеха,з/п не ук,Резюме
Инженер / Помощник инженера,30 000,Резюме
Промоутер,500,Вакансии
Продавец продовольственных товаров,25 000,Вакансии
Оператор-кассир,27 000,Вакансии
Воспитатель детского сада,35 000,Вакансии
Оператор торгового зала,25 000,Вакансии
Водитель такси Uber,120 000,Вакансии
"Водитель, водитель-экспедитор",30 000,Резюме
Требуются подсобники,40 000,Вакансии
Плиточник-оделочник,з/п не ук,Резюме
Менеджер по оптовым продажам (Медовое),50 000,Вакансии
Требуется автослесарь с опытом работы,60 000,Вакансии
Кассир в гипермаркет (ул. Вербная),30 000,Вакансии
Временная подработка,з/п не ук,Резюме
Электросварщик П/А,60 000,Резюме
Мойщица посуды в ночную смену,1 100,Резюме
"Администратор, Офис -менеджер",30 000,Резюме
Тренер по смешанным единоборствам,20 000,Вакансии
Работа с проживанием,1 300,Резюме
Менеджер по продажам,50 000,Вакансии
Установщик межкомнатных дверей,1 500,Резюме
Преподаватель английского языка,10 000,Вакансии
Оператор склада,30 000,Вакансии
Требуется кухонный рабочий,з/п не ук,Вакансии
Аппаратчик лкм (разнорабочий),25 000,Вакансии
Охранник на парковку,17 000,Вакансии
Менеджер по продажам,25 000,Резюме
"Няня, администратор, преподаватель, учитель",25 000,Резюме
Специалист по массажу,40 000,Резюме
Инженер проектировщик(пто),35 000,Резюме
Грузчик-комплектовщик,22 000,Вакансии
"Няня, сиделка",5 000,Резюме
Снабженец,37 000,Резюме
Инженер проектировщик,25 000,Резюме
Официант,з/п не ук,Резюме
