Вакансия,Зарплата,Тип
Мойщица посуды,1 000,Вакансии
"Бариста, бармен, продавец",з/п не ук,Резюме
Повар-универсал,35 000,Вакансии
Бригада кровельщиков по мягкой и жесткой кровле,з/п не ук,Резюме
Повар в столовую для сотрудников,25 000,Вакансии
Менеджер по туризму,з/п не ук,Резюме
"Ищу работу, 17 лет",25 000,Резюме
Парикмахер-стилист,з/п не ук,Вакансии
Продавец-консультант в фирменном чайном магазине,22 000,Вакансии
Продавец,1 000,Резюме
"Слесарь, монтажник, бетонщик",50 000,Резюме
Помощник бухгалтера,25 000,Вакансии
Консультанты. Ежедневные выплаты,30 000,Вакансии
В поисках интересной работы,40 000,Резюме
Продавец-консультант (Индустриальный проспект),25 000,Вакансии
"Аниматор ведущий, организатор праздников",1 200,Резюме
"Бармен в боулинг, бильярд",26 000,Вакансии
Фрезеровщик,45 000,Резюме
Продавец мясного отдела,36 000,Вакансии
Подработка,25 000,Резюме
Старший повар с функцией заведующего производства,40 000,Резюме
Помощник в офис,45 000,Вакансии
Водитель на доставку пиццы м. Лесная,40 000,Вакансии
Любая,з/п не ук,Резюме
Требуется водитель на автобетоносмеситель Камаз,60 000,Вакансии
Монтажники стеклянных офисных перегородок,80 000,Вакансии
Водители категории В и категории С,50 000,Вакансии
Выездной системный администратор,9 000,Резюме
Работник в покрасочную,35 000,Вакансии
Агент по аренде,20 000,Вакансии
Ищу работу в ресторанной сфере,30 000,Резюме
Няня,200,Резюме
Прораб участок вентилируемых фасадов,70 000,Вакансии
Ученик) монтажник натяжных потолков,50 000,Резюме
"Главный бухгалтер, бухгалтер в одном лице",з/п не ук,Резюме
Мастер по массажу,20 000,Резюме
Полусухая стяжка,100 000,Вакансии
Монтажники вентилируемых фасадов,100 000,Вакансии
Грузчик(1-4челов.) ищу подработки,з/п не ук,Резюме
"Руководитель, заведующая отд., директор магазина",45 000,Резюме
Свободный творец,20 000,Резюме
Менеджер по работе с клиентами,35 000,Вакансии
Подработка,з/п не ук,Резюме
Требуется парикмахер,30 000,Вакансии
"3D Модели (SolidWorks), оператор чпу, модельщик",з/п не ук,Резюме
Монтажник металлопластиковых окон и дверей,80 000,Вакансии
Водитель категории В,35 000,Резюме
Помощник повара азс (Дор. на Турухтанные острова),23 000,Вакансии
Управляющая офис-менеджер,20 000,Вакансии
Водитель-грузчик,45 000,Вакансии
Бухгалтер для строительной организации,10 000,Резюме
"Бухгалтер для кафе, ресторана",10 000,Резюме
Гувернер к детям от 3 лет,200,Резюме
Администратор ресепшн,20 000,Резюме
Мастер по маникюру,35 000,Вакансии
Главный бухгалтер,25 000,Резюме
Штробление,1 500,Резюме
Менеджер по туризму,з/п не ук,Резюме
Главный бухгалтер,5 000,Резюме
Водитель с личным автомобилем Газель,з/п не ук,Резюме
Менеджер по продажам строящегося жилья,80 000,Вакансии
Разнорабочий,1 500,Резюме
Водитель,50 000,Вакансии
Главный бухгалтер(бухгалтер-калькулятор) общепит,5 000,Резюме
Водитель,55 000,Резюме
Курьер по доставке банковских карт,30 000,Вакансии
Повар,35 000,Резюме
Инженер по нормированию труда,40 000,Вакансии
Продавец-консультант,60 000,Вакансии
Бригада демонтажников и разнорабочих,з/п не ук,Резюме
Менеджер по продажам,50 000,Вакансии
Администратор,27 000,Резюме
Заместитель Руководителя склада/отдела,45 000,Резюме
"Работа водителем категории ""В"", требуется водитель",110 000,Вакансии
Штукатур на станцию,1 500,Резюме
Повар -универсал,40 000,Вакансии
Уборщица на азс (Дорога на Турухтанные острова),з/п не ук,Вакансии
Инженер пто,60 000,Вакансии
Гипрочные мастера,10 000,Резюме
Менеджер call-центра,50 000,Вакансии
Разнорабочий,30 000,Вакансии
Грузоперевозки,350,Резюме
Официант,з/п не ук,Вакансии
Массажистка,20 000,Резюме
Помощник бухгалтера,25 000,Резюме
Администратор,з/п не ук,Резюме
